TF,Genes,Weights
Bbx,"['Csde1', 'Nipbl', 'Stk17b', 'Smpdl3a', 'Cetn3', 'Dap', 'Avl9', 'Fcho2', 'Capza2', 'Top1', 'Aftph', 'Pafah1b1', 'Stx17', 'Ap4s1', 'Ifi47', 'Cyld', 'Ypel5', 'Psmc1', 'Fryl', 'Peli1', 'Hnrnpa2b1', 'Dgka', 'Ipcef1', 'Ssb', 'Fundc2', 'Fam3c', 'Actl6a', 'Hnrnpr', 'Mysm1', 'S100a10', 'Vps29', 'Aifm1', 'Azi2', 'C1d', 'Gpr174', 'H13', 'Ubxn4', 'Itm2c', 'Erp44', 'Dpp8', 'Tmx4', 'Phf14', 'Ppp2r2a', 'Nfyb']","[1.6336769026033346, 1.95762964564884, 1.95762964564884, 1.95762964564884, 0.6504561555952453, 1.95762964564884, 1.95762964564884, 1.95762964564884, 2.721889789058479, 1.0157803036639856, 2.123731654147333, 1.2596211726871598, 2.123731654147333, 2.123731654147333, 2.123731654147333, 2.123731654147333, 2.721889789058479, 2.721889789058479, 1.7493410973734351, 2.721889789058479, 2.123731654147333, 1.2939620387618913, 0.8910867274487114, 0.3064745362812735, 0.1713246382684209, 0.29472193298594496, 0.17353913293672632, 0.6410873581564924, 1.95762964564884, 0.2659656563369228, 0.3489283775504614, 0.6504561555952453, 0.1771055020422409, 0.30592496053791346, 0.14866390768610238, 0.5300532211931095, 0.5471844623984128, 0.1293684700916879, 0.4785063631000146, 0.4662600522634046, 0.4009489601313823, 0.6604368313927068, 0.6133061271838398, 0.2682395058839249]"
Bclaf1,"['Phb2', 'Mtpn', 'Vmp1', 'Tbcc', 'Fbxw2', 'Srsf6', 'S1pr4', 'Psmc1', 'Thumpd3', 'Khdrbs1', 'Agpat3', 'Sept4', 'Phf6', 'Hsbp1', 'Ikzf1', 'Cd48', 'Krcc1', 'Zfp512', 'Ppig', 'Pde4b', 'Golga1', 'Zap70', 'Dda1', 'Traf1', 'Fkbp1a', 'BC004004', 'Zfp397', 'Cul1', 'Bms1', 'Git2', 'Plec', 'Sbno1', 'Eif4g2', 'Akap8', 'Dido1', 'Taf3', 'Cnst', 'Prdm2', 'Pum1', 'Rabgap1l', 'Hspa9', 'Papola', 'Ccnd2', 'Cdkn1b', 'Rplp0', 'Kif5b', 'Rab10', 'Hdlbp', 'Bclaf1', 'Wasf2', 'Elovl1', 'Cast', 'Ablim1', 'Bcl2', 'Ahnak', 'Slc3a2', 'Rac2', 'Il18rap', 'Casp8', 'Mical1', 'Krtcap2', 'Chn2', 'Ogfr', 'Ppm1j', 'Lpxn', 'Lck', 'Pafah1b2', 'Ywhab', 'Dctn5', 'Parg', 'Mcm3ap', 'Serp1', 'Uspl1', 'Dnajc7', 'Arpc5l', 'Dhx8', 'Mlec', 'Fam96a', 'Snx1', 'Gpatch2', 'Cox4i1', 'Eif6', 'Bcap31', 'Atp6v1d', 'Hspa4', 'Asap1', 'Ddx5', 'Tnfaip8', 'Idh3b', 'Ankrd44', 'Setbp1', 'Limd2', 'Rbm39', 'Psmb1', 'Il2rg', 'M6pr', 'Vps37b', 'Sys1', 'Rab8a', 'Rchy1', 'Igbp1', 'Cbx5', 'Icam1', 'Taok3', 'Rbbp8', 'Sart3', 'Nars', 'Gdi2', 'Tm9sf3', 'Chmp1b', 'Abhd12', 'Tmbim6', 'Gtf2f1', 'Ncapd3', 'Tbc1d15', 'Acap2', 'Mllt10', 'Cd37', 'Ate1', 'Ccdc88c', 'Eif3d', 'Glyr1', 'Vasp', 'Rcsd1', 'Sema4a', 'Gorasp2', 'Cct2', 'Fam173a', 'Rbms1', 'Zfp292', 'Mef2a', 'Cript', 'Spg21', 'Fxyd5', 'Dnajc2', 'Irf1', 'Pmm2', 'Ctsw', 'Gtf2e2', 'Ostf1', 'Ndufs2', 'Tcerg1', 'Ugp2', 'Cog4', 'Cdc40', 'Ubr4', 'Etf1', 'Prpf38b', 'Psmc5', 'Tgoln1', 'Unc50', '3830406C13Rik', 'Ccdc82', 'Fyco1', 'Scamp3', 'Bdp1', 'Imp4', 'Sf3b5', 'Vav1', 'Nr3c1', 'Serbp1', 'Ppp1r10', 'Rnf6', 'Pcnt', 'Hp1bp3', 'Ddx6', 'Hnrnpa2b1', 'Bptf', 'Tia1', 'Matr3', 'Ypel5', 'Tnrc6b', 'Ociad1', 'Gbf1', 'Baz2a', 'Armc1', 'Srp9', 'Peli1', 'Tecpr1', 'Arhgef3', 'L3mbtl3', 'Safb', 'Atp1b3', 'Jtb', 'Oxr1', 'Wdr33', 'Ppp1r15b', 'Eif5', 'Pik3r1', 'Rasa3', 'Hnrnpc', 'Sp3', 'Ddx23', 'Atp8b4', 'Mfng', 'Sept7', 'Dad1', 'Ldha', 'Birc6', 'Eapp', 'Stk38', 'Capzb', 'Atxn7l3b', 'Snrnp70', 'Cep250', 'Upf2', 'Dhx57', 'G3bp2', 'Sec62', 'Cd96', 'Arpc5', 'Rpap3', 'Srp14', 'Nrf1', 'Fubp1', 'Dock2', 'Stk10', 'Cct4', '4930523C07Rik', 'Ccdc12', 'Ddrgk1', 'Samhd1', 'Ap3b1', 'Hist1h1e', 'Polr2b', 'Gabarap', 'Dock8', 'Il2rb', 'Top1', 'Lrba', 'Fastk', 'Alkbh4', 'Vapa', 'Eif3a', 'Hif1a', 'Chd1', 'Ikzf3', 'Ppp1ca', 'Crlf3', 'Sh3bgrl', 'AB124611', 'Idh3a', 'Wdr1', 'Rab18', 'Tcf25', 'Rnf20', 'Eif3c', 'Eif3h', 'Bag1', 'Ppp1r7', 'Pja2', 'Fam46c', 'Eif3l', 'Med11', 'Grpel1', 'Trim37', 'Rngtt', 'Idh3g', 'Nap1l4', 'Rbm17', 'Nemf', 'Armc7', 'Stt3a', 'Derl1', 'Aplp2', 'Ddx46', 'Psmd8', 'Ube2g2', 'Pdcd1', 'Rgs1', 'Mettl5', 'Fam76b', 'Ralgapa2', 'Fth1', 'Cmtm6', 'Itm2b', 'Dctn4', 'Smarca4', 'Luc7l3', 'Nup153', 'Wbp2', 'Terf1', 'Cklf', 'Dcp2', 'Mapk1', 'Srpk1', 'Dhx16', 'Ythdf2', 'Mphosph10', 'Rbm25', 'Nol7', 'Rsbn1l', 'D3Ertd751e', 'Smc1a', '1110004F10Rik', 'Usp15', 'Prpf40a', 'Ehd4', 'Dhx29', 'Snrnp40', 'Lin7c', 'Tspyl1', 'Tmed5', 'Lnpep', 'Btbd9', 'Gpcpd1', 'Phip', 'Ttc4', 'Chfr', 'Hsp90b1', 'Efhd2', 'Ptprcap', 'Prkca', 'Ndufv1', 'Ccdc124', 'Eif3f', 'Ndufa4', 'Fam3c', 'Spag9', 'Vdac2', 'Eps15', 'Smg1', '5830428M24Rik', '2210016F16Rik', 'Mtif3', 'Trnt1', 'Txnl4a', 'Rfk', 'Cbx1', 'Zc3h7a', 'C1d', 'Ckap5', 'Foxn3', 'AI413582', 'Gem', 'Mrpl21', 'St3gal6', 'Nln', 'Commd7', 'Cct8', 'Nfatc3', 'Emb', 'Macf1', 'Ezr', 'Pepd', 'Etfa', 'Sdha', 'Ms4a4b', 'Med30', 'Scamp2', 'Samd9l', 'Lgals3bp', 'Tmx4', 'Cxcr6', 'Impa1', 'Lsm4', 'BC005624', 'Stx17', 'Rsbn1', 'Atp5o']","[1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 0.8338641579542573, 1.7211159614260805, 1.9593878792238013, 1.9849639703144453, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 1.9849639703144453, 1.9849639703144453, 3.129970003987255, 1.9849639703144453, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 1.4515637164682706, 3.129970003987255, 3.129970003987255, 1.4515637164682706, 3.129970003987255, 1.9593878792238013, 1.9849639703144453, 1.9593878792238013, 1.539831555007109, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 3.129970003987255, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 1.9849639703144453, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.5438041740789876, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 1.4904288876442788, 1.9593878792238013, 1.0, 1.9593878792238013, 3.129970003987255, 1.539831555007109, 1.9593878792238013, 3.129970003987255, 1.539831555007109, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9849639703144453, 1.9593878792238013, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 1.539831555007109, 1.4515637164682706, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.7057158159974106, 3.129970003987255, 1.7057158159974106, 1.7041821575759997, 1.7057158159974106, 1.7057158159974106, 1.9849639703144453, 1.4904288876442788, 1.9849639703144453, 1.9593878792238013, 0.8220099119513729, 0.9487063795047246, 0.7081772539700518, 1.7211159614260805, 3.129970003987255, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 1.0, 0.1437414013468905, 1.9593878792238013, 1.9593878792238013, 1.4515637164682706, 1.9593878792238013, 3.129970003987255, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 1.9593878792238013, 1.539831555007109, 3.129970003987255, 3.129970003987255, 1.9593878792238013, 1.9593878792238013, 3.129970003987255, 0.8220099119513729, 1.9849639703144453, 1.1852495535120329, 1.9849639703144453, 1.539831555007109, 1.9593878792238013, 0.4920093255397762, 1.9849639703144453, 0.5211937921230511, 0.007502338363423501, 3.129970003987255, 0.5898870688242346, 3.129970003987255, 1.7057158159974106, 0.5898870688242346, 1.2785304853944346, 1.4904288876442788, 3.129970003987255, 1.2785304853944346, 0.31002696101005983, 0.1437414013468905, 3.129970003987255, 1.9593878792238013, 1.4515637164682706, 1.539831555007109, 0.2872384596616941, 1.4904288876442788, 1.9593878792238013, 1.2785304853944346, 0.9487063795047246, 1.0, 1.0, 0.7081772539700518, 1.7211159614260805, 0.2872384596616941, 1.2785304853944346, 0.7681373420241033, 3.129970003987255, 1.7041821575759997, 1.5438041740789876, 1.4904288876442788, 1.4515637164682706, 1.9849639703144453, 1.9849639703144453, 1.539831555007109, 3.129970003987255, 1.7211159614260805, 1.9849639703144453, 3.129970003987255, 1.4904288876442788, 1.9593878792238013, 0.4920093255397762, 1.9849639703144453, 1.4515637164682706, 1.1852495535120329, 0.2872384596616941, 3.129970003987255, 0.1403842734271477, 3.129970003987255, 1.9593878792238013, 1.4904288876442788, 1.539831555007109, 1.539831555007109, 3.129970003987255, 0.8220099119513729, 1.4515637164682706, 1.4904288876442788, 1.9593878792238013, 1.0, 1.4515637164682706, 0.18693379418171813, 1.539831555007109, 1.4515637164682706, 0.8118666154129573, 0.7681373420241033, 3.129970003987255, 1.9593878792238013, 1.539831555007109, 1.2785304853944346, 0.5898870688242346, 1.5438041740789876, 0.2485605086723691, 0.2663513886641218, 0.1403842734271477, 1.2785304853944346, 0.1764224522703564, 1.9593878792238013, 1.9593878792238013, 0.7636295941801035, 0.6858447374963348, 1.2785304853944346, 3.129970003987255, 0.2804505866277706, 0.3270452329258091, 0.13394150503052485, 0.2067322641309485, 0.11396885210455344, 0.9487063795047246, 1.4904288876442788, 0.014461764770858376, 1.539831555007109, 1.4515637164682706, 0.8118666154129573, 3.129970003987255, 0.1860682030164838, 1.5438041740789876, 1.2785304853944346, 0.1403842734271477, 3.129970003987255, 0.4872716706971805, 1.4904288876442788, 0.22281427284909885, 1.1852495535120329, 0.7681373420241033, 1.9593878792238013, 0.00290198397122292, 0.1437414013468905, 3.129970003987255, 1.4904288876442788, 3.129970003987255, 3.129970003987255, 1.539831555007109, 1.5438041740789876, 3.129970003987255, 3.129970003987255, 1.539831555007109, 3.129970003987255, 1.5438041740789876, 3.129970003987255, 3.129970003987255, 0.9487063795047246, 0.2804505866277706, 1.5438041740789876, 1.9849639703144453, 0.8220099119513729, 0.0910115975903785, 1.539831555007109, 1.2785304853944346, 0.007502338363423501, 1.539831555007109, 0.18693379418171813, 1.7211159614260805, 0.7681373420241033, 3.129970003987255, 0.001100046508972433, 3.129970003987255, 1.9593878792238013, 3.129970003987255, 0.2804505866277706, 0.7681373420241033, 0.8118666154129573, 3.129970003987255, 0.7681373420241033, 0.14741603027532124, 1.9593878792238013, 3.129970003987255, 0.7032136989602669, 0.4872716706971805, 1.539831555007109, 1.0]"
Bdp1,"['Gpbp1', 'Ccm2', 'Acin1', 'Stk38', 'Taok3', 'Wasf2', 'Rps6kb1', 'Itpkb', 'Anxa2', 'Ptpn22', 'Gtf2e2', 'G3bp2', 'Rbm6', 'Lrp10', 'Srp14', 'Emb', 'Msn', 'Spop', 'Psmd12', 'Bptf', 'Snrnp70', 'Ctcf', 'Eif4g1', 'Cep250', 'Ankhd1', 'Baz2b', 'Hp1bp3', 'Arpc5', 'Etfa', 'Myh9', 'Crcp', 'Stat3', 'Akr1b10', 'Cdc42', 'Anp32e', 'Ier2', 'Dazap2']","[0.5304941735845713, 2.262982855789005, 0.5848103019536021, 0.5848103019536021, 0.8683667376321077, 0.6231975005165057, 0.8683667376321077, 2.8997312047032167, 0.5089353620908231, 1.0769423099598543, 11.118531191931462, 2.4482937167187147, 2.4486783247930366, 0.8413200439360264, 1.0, 0.8110404131678878, 2.4486783247930366, 3.4943766814981068, 1.368839711770914, 0.2342765661769349, 0.5304941735845713, 2.262982855789005, 0.17915309810170124, 0.1612650638667696, 0.28555213277691144, 0.1781252288241451, 0.6267205087687753, 2.8997312047032167, 1.0769423099598543, 0.4057903640557466, 11.118531191931462, 0.3610545321271792, 2.4482937167187147, 0.28552101621854903, 0.1059007703084808, 0.06064245067832549, 0.002323745901458593]"
Bhlhe40,"['Bhlhe40', 'Arpc5', 'Phf20l1', 'Eif4g1', 'Ppt1', 'Iqgap2', 'Setbp1', 'Prrc2c', 'Commd4', 'Git2', 'AI413582', 'Phb2', 'Gem', 'Ccdc88c', 'Slc25a1', 'Rnf114', 'Ptpn6', 'Ccnd3', 'Psmd12', 'Adam10', 'Id2', 'Serbp1', 'Irf9', 'Matr3', 'Ppp4c', 'Safb2', 'Taf12', 'Uba5', 'Use1', 'Pja2', 'Rbbp5', 'Ankrd10', 'Secisbp2', 'Emp3', 'Etf1', 'Ebna1bp2', 'Gcc2', 'Dnajc7', 'Nup214', 'Ndufa13', 'Pafah1b2', 'Dido1', 'Tmed3', 'Bag5', 'Cish', 'Atxn10', 'Bms1', 'Pnrc1', 'Arid4b', 'Pde4b', 'Ndufb8', 'Usp8', 'Birc6', 'Dguok', 'Cep250', 'Col4a3bp', 'Skp1a', 'Eif3i', 'Trim37', 'Ddx50', 'Ttc9c', 'Itpkb', 'Uhrf2', 'Msn', 'Sharpin', 'Vezf1', 'Eea1', 'Plec', 'Cytip', 'Tnfrsf4', 'Wasf2', 'Bin1', 'H13', 'Krtcap2', 'Rps9', 'Anp32b', 'Eif3h', 'Qdpr', 'Tspan13', 'Acap2', 'Tspan31', 'Aurkaip1', 'Ccndbp1', 'Cdc123', 'Rnf167', 'Vcpip1', 'Puf60', 'Eif3m', 'Chmp2a', 'Tmem127', 'Psmc1', 'Uqcrh', 'Mrpl52', 'Rest', 'Sub1', 'Cope', 'Tbcc', 'Dars', 'Aftph', 'Adipor1', 'Psmc4', 'Top3b', 'Ttc1', 'Zranb2', 'P4hb', 'Sec13', 'Dhps', 'Lef1', 'Arfrp1', 'Dhx57', 'Tcp1', 'M6pr', 'Golga3', 'Ubr4', 'Park7', 'Exosc3', 'Tmem128', 'Cct7', 'Hif1an', 'Ccdc47', 'Ngdn', 'Csnk1a1', 'Snx1', 'Rala', 'Dazap2', 'Tmem87a', 'Araf', 'Dctn5', 'Mat2b', 'Usp16', '3830406C13Rik', 'Tln1', 'Chmp1b', 'Dctn3', 'Impa1', 'Arhgef3', 'Ipcef1', 'Ddx21', 'Rbbp7', 'Sema4a', 'Sash3', 'Arhgap25', 'Tgoln1', 'Rbbp6', 'Nsd1', 'Madd', 'Mrpl28', 'Hcst', 'Psmc2', 'Gpbp1', 'Ccnd2', 'Slc25a3', 'Atp5d', 'Rheb', 'Ube2b', 'Map3k2', 'Ddx17', 'St13', 'Zfr', 'Rnf166', 'Nrd1', 'Oxct1', 'Psmb2', 'Ncald', 'Numa1', 'Gpcpd1', 'Cirbp', 'Golga5', 'Ssu72', 'Ppp2r2a', 'Srsf11', 'Pop4', 'Ahnak', 'Adprh', 'Surf4', 'Aldoa', 'Rab3gap1', 'Gabarap', 'Abcf1', 'Hspa5', 'Ppp1r12a', 'Glod4', 'Rhoh', 'Cct4', 'Timm17a', 'Prkar1a', 'Mapre2', 'Scfd1', 'Gnptg', 'Cdc42', 'Thrap3', 'Bub3', 'Traf3ip3', 'Cdc42se1', 'Tlk1', 'Rbm39', 'Ndufa8', 'Fcho2', 'Ldha', 'Bnip2', 'Prpf38b', 'Denr', 'Sdccag8', 'Gna15', 'Zeb1', 'Sh3bgrl', 'Cdk5rap2', 'Zfp207', 'Thoc7', 'Spcs2', 'Nup153', 'Ech1', 'Med4', 'Pip4k2a', 'Ccdc124', 'Arap2', 'Mrps23', 'Mdh1', 'Penk', 'Cmtm6', 'Rabac1', 'Snrnp48', 'Eif5', 'Timm50', 'Psmb9', 'Ankrd39', 'Nfatc3', 'Wdr1', 'Scaper', 'Nol8', 'D3Ertd751e', 'Timm44', 'Tra2a', 'Chchd3', 'Trp53inp1', 'Ctsd', 'Pomp', '2810403A07Rik', 'Rab8a', 'Srp72', 'Vta1', 'Nop58', 'Uba2', 'Grap', 'Mak16', 'Necap2', 'Hsd17b11', 'Laptm5', 'Txndc17', 'Vps41', 'Cetn3', 'Psmd4', 'Nubp1', 'Drg1', 'Usp48', 'Cbx5', 'Ppp1r7', 'Exosc2', 'Ralbp1', 'Slc25a4', 'Cd47', 'Cd9', 'Dnajc3', 'Nxf1', 'Isg20', 'Aggf1', 'Klhl6', 'Arhgap15', 'Psmd8', 'Tcerg1', 'Rexo2', 'Terf1', 'Prpf40a', 'Slc35b1', 'Pepd', 'Gtf2e2', 'Cdkn2c', 'Taf3', 'C1qbp', 'Sla', 'Copz1', 'Ppp1ca', 'Tagln2', 'Psmd11', '4931406P16Rik', 'Prkca', 'Lrch3', 'Rps6kb1', 'Srpk1', 'Ndufb10', 'Gusb', 'Samm50', 'Dock11', 'Trnt1', 'Sh3glb1', 'Tnfrsf9', 'D16Ertd472e', 'Gbf1', '1810037I17Rik', 'Ube2k', 'Timm13', 'Zfp106', 'Ngly1', 'Luc7l', 'Cyc1', 'Gpr174', 'Rnh1', 'Pak2', 'Stk10', 'Susd3', 'Zfp707', 'Dnm1l', 'Srp9', 'Anxa2', 'Mical1', 'Srsf10', 'Hist1h1e']","[7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.4439511098038493, 2.4439511098038493, 7.493696147276154, 7.493696147276154, 2.183593992368053, 7.493696147276154, 7.493696147276154, 7.493696147276154, 3.733072500974688, 2.4439511098038493, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.183593992368053, 3.733072500974688, 2.418508168032561, 2.183593992368053, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.172378063161521, 7.493696147276154, 7.493696147276154, 2.172378063161521, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.4439511098038493, 7.493696147276154, 2.4439511098038493, 1.2207518237429005, 2.183593992368053, 2.183593992368053, 2.418508168032561, 1.2207518237429005, 7.493696147276154, 1.6117059295239604, 2.183593992368053, 7.493696147276154, 2.172378063161521, 2.172378063161521, 2.183593992368053, 2.172378063161521, 7.493696147276154, 7.493696147276154, 2.4439511098038493, 7.493696147276154, 0.7232233057467746, 7.493696147276154, 3.733072500974688, 1.2207518237429005, 1.2049200061656715, 1.1246157654627524, 3.733072500974688, 3.733072500974688, 7.493696147276154, 2.172378063161521, 3.733072500974688, 1.2049200061656715, 3.733072500974688, 7.493696147276154, 7.493696147276154, 3.733072500974688, 3.733072500974688, 1.1246157654627524, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.183593992368053, 2.4439511098038493, 2.418508168032561, 2.4439511098038493, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.4439511098038493, 2.4439511098038493, 7.493696147276154, 2.4439511098038493, 7.493696147276154, 1.6117059295239604, 1.2207518237429005, 7.493696147276154, 7.493696147276154, 1.0276099646726804, 2.172378063161521, 7.493696147276154, 7.493696147276154, 7.493696147276154, 7.493696147276154, 1.6117059295239604, 2.172378063161521, 2.4439511098038493, 2.172378063161521, 2.4439511098038493, 2.4439511098038493, 1.6117059295239604, 7.493696147276154, 2.172378063161521, 1.2207518237429005, 2.4439511098038493, 1.2049200061656715, 7.493696147276154, 2.172378063161521, 1.6117059295239604, 7.493696147276154, 2.4439511098038493, 7.493696147276154, 2.183593992368053, 1.2049200061656715, 2.172378063161521, 1.0276099646726804, 1.1010526293678635, 1.1246157654627524, 2.183593992368053, 2.172378063161521, 1.6117059295239604, 2.172378063161521, 1.2049200061656715, 7.493696147276154, 3.733072500974688, 7.493696147276154, 0.5375298816871223, 1.1246157654627524, 2.4439511098038493, 1.0276099646726804, 2.183593992368053, 2.172378063161521, 7.493696147276154, 1.0121776285731334, 1.2049200061656715, 0.981648971311104, 1.6117059295239604, 2.418508168032561, 2.183593992368053, 3.733072500974688, 0.6080776674187869, 2.172378063161521, 2.418508168032561, 2.183593992368053, 0.6735911567655751, 1.1246157654627524, 7.493696147276154, 2.4439511098038493, 1.1010526293678635, 0.827162006896871, 1.2207518237429005, 1.2207518237429005, 1.6117059295239604, 3.733072500974688, 7.493696147276154, 2.183593992368053, 0.971695612693018, 1.2049200061656715, 0.33856486454426843, 1.2049200061656715, 3.733072500974688, 0.1028932425247256, 0.331167046495785, 2.172378063161521, 0.546800331144633, 2.418508168032561, 1.0556828608560365, 7.493696147276154, 2.4439511098038493, 2.4439511098038493, 7.493696147276154, 1.6117059295239604, 2.4439511098038493, 7.493696147276154, 7.493696147276154, 7.493696147276154, 2.4439511098038493, 2.183593992368053, 2.172378063161521, 1.0, 1.2207518237429005, 1.6117059295239604, 2.183593992368053, 7.493696147276154, 7.493696147276154, 1.0637061420382592, 1.6117059295239604, 7.493696147276154, 1.6117059295239604, 0.301792330538356, 2.418508168032561, 0.981648971311104, 2.4439511098038493, 2.172378063161521, 0.6735911567655751, 7.493696147276154, 1.0276099646726804, 0.7704576495633237, 2.172378063161521, 2.172378063161521, 1.1246157654627524, 1.2049200061656715, 2.183593992368053, 1.2207518237429005, 2.172378063161521, 2.172378063161521, 0.7232233057467746, 1.2207518237429005, 0.7232233057467746, 3.733072500974688, 3.733072500974688, 2.172378063161521, 1.4352469608983893, 2.172378063161521, 0.827162006896871, 7.493696147276154, 1.6117059295239604, 1.1246157654627524, 1.2207518237429005, 2.172378063161521, 1.6117059295239604, 1.0556828608560365, 2.183593992368053, 1.0, 7.493696147276154, 7.493696147276154, 2.172378063161521, 2.183593992368053, 7.493696147276154, 1.0276099646726804, 2.4439511098038493, 1.6117059295239604, 2.172378063161521, 2.4439511098038493, 1.2207518237429005, 1.1010526293678635, 2.172378063161521, 0.4801682467747159, 1.1246157654627524, 2.172378063161521, 1.6117059295239604, 0.7704576495633237, 0.971695612693018, 1.0556828608560365, 2.172378063161521, 2.4439511098038493, 7.493696147276154, 2.172378063161521, 1.0121776285731334, 1.2207518237429005, 1.2207518237429005, 1.2049200061656715, 0.27793832650315825, 0.7232233057467746, 1.6117059295239604, 2.172378063161521, 0.020430512400806896, 1.2207518237429005, 0.2656466629346624, 1.0556828608560365, 0.971695612693018, 1.0121776285731334, 1.1246157654627524, 1.1010526293678635, 7.493696147276154, 0.03297925605131646, 0.4617500508202729, 7.493696147276154, 0.7704576495633237, 1.1246157654627524, 1.0121776285731334, 1.0556828608560365, 1.0121776285731334, 0.33856486454426843, 1.0276099646726804, 0.5932019834593792, 0.5848792083562515, 0.29912159852100506, 0.06261219625936007, 0.29912159852100506, 0.5375298816871223, 2.172378063161521, 7.493696147276154, 2.172378063161521, 2.418508168032561, 0.971695612693018, 1.0556828608560365, 0.2121505892788844, 1.0276099646726804, 1.0121776285731334, 1.2049200061656715, 1.2207518237429005, 1.6117059295239604, 7.493696147276154, 0.981648971311104, 0.981648971311104, 2.172378063161521, 1.0121776285731334, 1.6117059295239604, 2.183593992368053, 1.0121776285731334, 1.1010526293678635, 3.733072500974688, 1.2207518237429005, 0.27793832650315825]"
Cers4,"['Terf2ip', 'Capza2', 'Tcp1', 'Ggnbp2']","[1.5077851636874668, 1.9925296198736864, 1.3529475424602313, 1.4324098940420684]"
Chd1,"['Fli1', 'Hspa5', 'Fam46c', 'Irf2']","[2.596506321945937, 1.2979485100541686, 0.9971499532412108, 0.9956154944409504]"
