TF	target	importance
Nmi	Fam46c	106.33491147036503
Nmi	Prss2	106.33491147036503
Nmi	Tnfrsf9	106.33491147036503
Zbtb1	Rnf219	104.73646850206077
Zbtb1	Usp18	104.73646850206077
Zbtb1	Cd200r2	104.73646850206077
Zbtb1	Cd9	104.73646850206077
Zbtb1	Cep57	104.73646850206077
Zbtb1	Fam169b	104.73646850206077
Zbtb1	Icos	104.73646850206077
Ppp1r10	Rnf219	103.22383114593214
Ppp1r10	Cep57	103.22383114593214
Ppp1r10	Fam169b	103.22383114593214
Ppp1r10	Cd9	103.22383114593214
Ppp1r10	Usp18	103.22383114593214
Ppp1r10	Cd200r2	103.22383114593214
Ppp1r10	Icos	103.22383114593214
Klf2	Prss2	102.50071995100089
Klf2	Fam46c	102.50071995100089
Klf2	Gpatch11	102.50071995100089
Klf2	Tnfrsf9	102.50071995100089
Ncald	Tnfrsf9	102.41551569501505
Ncald	Gpatch11	102.41551569501505
Ncald	Prss2	102.41551569501505
Ncald	Fam46c	102.41551569501505
P4hb	Prss2	98.16994737721915
P4hb	Fam46c	98.16994737721915
P4hb	Gpatch11	98.16994737721915
P4hb	Tnfrsf9	98.16994737721915
Rest	Cd9	96.18915621261122
Rest	Rnf219	96.18915621261122
Rest	Usp18	96.18915621261122
Rest	Icos	96.18915621261122
Rest	Cep57	96.18915621261122
Rest	Cd200r2	96.18915621261122
Rest	Fam169b	96.18915621261122
2310011J03Rik	Cd200r2	93.80629676304719
2310011J03Rik	Fam169b	93.80629676304719
2310011J03Rik	Cep57	93.80629676304719
2310011J03Rik	Rnf219	93.80629676304719
2310011J03Rik	Cd9	93.80629676304719
2310011J03Rik	Icos	93.80629676304719
2310011J03Rik	Usp18	93.80629676304719
2810403A07Rik	Tnfrsf9	93.38386456051286
2810403A07Rik	Prss2	93.38386456051286
2810403A07Rik	Fam46c	93.38386456051286
2810403A07Rik	Gpatch11	93.38386456051286
Ezr	Prss2	90.79445396844228
Ezr	Tnfrsf9	90.79445396844228
Ezr	Gpatch11	90.79445396844228
Ezr	Fam46c	90.79445396844228
Hcfc1	Prss2	87.55269829147993
Hcfc1	Tnfrsf9	87.55269829147993
Hcfc1	Gpatch11	87.55269829147993
Hcfc1	Fam46c	87.55269829147993
Fubp1	Cep57	87.18623026167714
Fubp1	Rnf219	87.18623026167714
Fubp1	Cd9	87.18623026167714
Fubp1	Fam169b	87.18623026167714
