TF	target	importance
Hspa5	Nans	6.431556155269787
Nr4a2	Vps29	6.424067288039602
Zfp664	Bag5	6.4057831897301645
Zfp397	Tk2	6.405586980336615
Supt20	Atp6v0e	6.387057991952544
Trim21	Bcap31	6.339750137144375
Cers2	Srp9	6.334046600308935
Hes6	Gnai3	6.330316030094693
Bhlhe40	Klf3	6.312679303374328
Ssrp1	Rsbn1l	6.301733667719045
Klf3	Klhl9	6.298762471912253
Zbtb1	Rbm27	6.2928612673119515
Nelfb	Ankrd12	6.2905231179531915
Tagln2	Tnfrsf4	6.282772452812452
Cers4	Ppp6r3	6.271108563291628
Tsnax	Myh9	6.269212421590643
Tsc22d4	Nans	6.260665211329605
Lef1	Ppp6r3	6.259830939513386
Creb1	Ecsit	6.255699386381229
Topors	Pja1	6.254626476946353
Taf1	5830408C22Rik	6.25297219936437
2810403A07Rik	Gm4956	6.249452846546298
Git2	Sumo3	6.236448010003712
Elf1	Prkca	6.222058656469601
Stub1	Fasl	6.221227969760347
2810403A07Rik	Gpr55	6.204482355460654
Ube2k	Tpst2	6.198226446940349
Smarca4	Grpel1	6.186705473048901
Rbbp5	Flywch1	6.165964966754942
Zbtb38	Zcchc17	6.1613593457370674
Ccnt2	Prkch	6.155375926864263
Elf2	Ddx52	6.132615863208542
Taf7	BC005624	6.121904463363437
Kdm5a	Me2	6.095718658258669
Zfp397	Camk2d	6.089617841055942
Fubp1	Txn2	6.0799638666702585
Rnf114	Gnai3	6.0729374107408995
Nr3c1	Kmt5b	6.064485946473633
Bhlhe40	Pttg1	6.060803450923152
Zfp664	Limd2	6.044826144131596
Tagln2	Ube2b	6.038691206216487
Hp1bp3	Zc3h13	6.038468071918717
Nr4a2	5830408C22Rik	6.030849831225429
Zfp407	Asxl2	6.01680113940086
Ubtf	Lef1	6.007044511539474
Ubxn1	Golm1	6.003011080857181
Ube2k	Trmt1l	6.0000252072254465
Rbbp5	Me2	5.982725666269076
Pqbp1	Klf2	5.947571863682087
Smarca4	Itgb2	5.939916106190065
Irf9	Drg1	5.933237905981602
Smap2	Hnrnpc	5.932456257148124
Bbx	Arid4a	5.908822074712541
Rnf114	Trim21	5.893214353586734
Rbm22	Banf1	5.892601424516756
Lrrfip1	Lsm14a	5.88831223958595
Mlx	Sema4a	5.885656496459364
Chd1	Rex1bd	5.8842850017123185
Zfp664	Cirbp	5.881964865124866
Ezh2	Vps29	5.87528777967772
Timm44	Banf1	5.8750652436929265
Pik3c3	Tpr	5.872176406672172
Stub1	Eps15	5.8687045686851675
Ikzf3	Desi2	5.859864928226097
Stat4	Rnasel	5.841112003339834
Cers2	Prkca	5.840631808248034
Zfp445	Dazap2	5.833586034706347
2810403A07Rik	Smc5	5.833348227576985
Irf3	Xpa	5.8256683918658005
Taf1	Spcs2	5.820944385301442
Zfp110	Ralgapa2	5.818242725299645
Rela	Cops8	5.803725996501394
Rnf114	Dcaf11	5.792505591449226
Arid5b	Psmd6	5.791841258326245
Fubp1	Me2	5.774433780130768
Ezr	Stk17b	5.766010340232463
Bclaf1	Phyh	5.761116115772597
Klf3	Klrk1	5.757349133543701
Zfp207	Ankrd12	5.752987232872959
Trp53	Nvl	5.747919704976238
Creb1	Nsun2	5.746750302660881
Ddit3	Golga5	5.744999373225044
Trim21	Pmm2	5.729421725967834
Creb1	Ccdc82	5.72309752054186
Bdp1	Banf1	5.7219111854109865
Bdp1	Ecd	5.721850751715971
Cers4	Lncpint	5.710128946169206
Zbtb1	4632427E13Rik	5.70935763054183
Sf3b1	Add3	5.7042740684713165
Hif1a	Ubn2	5.701498687917489
Snrnp70	Ngrn	5.684203471034417
Thoc2	Selenof	5.682864099723057
Irf9	Ralgapa2	5.675704156376929
Smarcc2	Sec11a	5.671250465973213
Smc3	Prkca	5.668482435438662
Pqbp1	Atp5j	5.648941023130894
Rlf	Rp9	5.644977858645632
Cnot4	Actl6a	5.643891414929742
Zfp207	Mrpl30	5.633444551314667
Snrnp70	Oard1	5.620999362713112
Ppp1r10	Txk	5.618481417985413
Zfp830	Atp6v0e	5.617728569336321
Zkscan3	Ywhab	5.6019067580820385
Creb1	Ikbkb	5.595442366485246
Stat3	Ralgapa2	5.589831168196321
Zfp646	Lncpint	5.579552016721353
Bclaf1	Ndufa13	5.57016106380127
Tsc22d4	Rora	5.564294317548015
Zbtb1	Snap29	5.5592781657835815
Taf1	Psmb8	5.544575229942165
Trim21	Dcaf11	5.543039725015522
Fubp1	Mllt10	5.543038755959371
Nfatc3	Banf1	5.529510083349707
Hnrnph3	Tsn	5.528034817941767
Smarcc1	Vps13a	5.5226779550010425
Bclaf1	Pitpna	5.516425341420127
Snrnp70	Rex1bd	5.515322669247151
Irf9	Fermt3	5.509676955120268
Rbms1	Fam98b	5.500879164774617
Ikzf1	Bag5	5.4998261381662745
Prdx5	Ccnd3	5.496804811471719
Setbp1	Capza2	5.490533430635264
Timm44	Lpcat1	5.486424873979637
Cers2	Eef1d	5.485144391829454
Klf6	Kmt5b	5.483603214599782
Chd1	Tnik	5.475868988213645
Psmd12	Pld3	5.471486020396173
Elk4	Bms1	5.459628644819061
Zeb1	Lsm14a	5.454400057237367
Smarcc2	Zcchc17	5.452728422924579
Mctp2	Desi2	5.450618596787782
Pqbp1	Eif4g1	5.444276456898066
Rbms1	Zc3h13	5.441193951896297
Bbx	Kmt5b	5.440591975061648
Git2	Matr3	5.44045234684883
Irf1	Mllt10	5.438235685665254
Ccnt2	Tmem208	5.43130004282345
Tagln2	Tespa1	5.428382275102342
Ubtf	Cd9	5.425653110076383
Zc3h7a	Vps35	5.418790174871691
Smarcc1	Atp6ap1	5.415000590828612
Elf2	Surf4	5.402942250410046
Mef2a	Aifm1	5.401584142226166
Nucb1	Cwc25	5.3811639283630965
Zcchc17	Atp6ap1	5.375925127257576
Cers2	Ube2b	5.368124640058709
Bhlhe40	Tmed9	5.364686740232398
Zfp664	Cd8a	5.357154770806362
Irf3	Sema4a	5.3509621631159545
Setbp1	Psip1	5.328772253395451
Zfp207	Eif4g1	5.32355940204269
Smarca4	Peak1	5.320862116969744
Ubxn1	Ube2b	5.317696208855502
Chd2	Rpn1	5.305840253545966
2810403A07Rik	Idh3g	5.304868386085566
Zbtb1	Bclaf1	5.2954419050595805
Ikzf3	Sla2	5.28813385091658
Lef1	Suclg1	5.276838062928412
Zmat2	Traf3ip3	5.274858358828541
Ecsit	Ikbkb	5.274307517887754
Supt20	Rnf219	5.236509828382357
Setbp1	Dazap2	5.235778770273998
Akr1a1	Dcaf11	5.233253529340507
Ezh2	Ttc1	5.231760091491122
Creb1	Pigk	5.230676099066875
Ecsit	Rbm27	5.230342766383171
Irf9	Prkch	5.228815281684658
Tbx21	Fam13b	5.22331201496002
Cnot4	Ube2b	5.212259674340778
Rfc2	Slc25a11	5.200585589733417
Zfp24	Ppp6r3	5.1925113279379564
Nr3c1	Arhgef6	5.19075223396717
Rab2a	Atp5a1	5.189661132593193
Bhlhe40	Smarcc1	5.187645754519473
Lef1	Eif3g	5.182834670404681
Irf1	Ifi214	5.179905986289301
Nelfb	Oard1	5.178499989814986
Hp1bp3	Glmp	5.171446445193066
Elf1	Smc3	5.170420375295327
Git2	Banf1	5.1595296023491874
Trim21	Herc4	5.154921236792798
Kdm5a	Tcf25	5.140524149088625
Nr3c1	Fubp1	5.139913146481204
Ilf2	Sytl2	5.139699555948109
Ube2k	Gle1	5.1306369429406935
Nr3c1	Zpr1	5.118359994967293
Sf3b1	Me2	5.111425338680215
Zfp664	Drg1	5.095133575195291
Rest	Coro1b	5.088773998693747
Kdm5a	Mical1	5.086701120064559
Yeats4	Acin1	5.08444585243817
Tagln2	Hook1	5.080992621236946
Klf6	Akap8l	5.068630583921856
Xpa	Zfp24	5.06361870286451
Zfp445	Cd5	5.054180220784621
Zfp397	Pttg1	5.0528754197202534
Foxn3	Nedd9	5.050928821523551
Hp1bp3	Tpst2	5.048976896728762
Setbp1	5830408C22Rik	5.041127658120901
Klf6	Pld3	5.035749075082221
Ecsit	Slc25a11	5.02911448909199
Zcchc17	Abi1	5.018319529625431
Rbms1	Slamf7	5.016187048062383
Mef2a	Tpst2	5.013395495048278
Chd1	Dda1	5.009843573900136
Zfp830	Snap29	5.0062681703502765
Mlx	Phip	5.002010783990567
Ube2k	Cfap97	5.0016404276183355
Ezr	Ralgapa2	4.992879042301539
Mef2a	Ostf1	4.981859561209921
Supt20	Dock11	4.977332095525616
Ncald	Zfand6	4.975225878860708
Hp1bp3	Eif3c	4.972815284262975
Sp3	Zfand6	4.967891838254545
Elf1	Sh3bgrl	4.960162433208194
Irf1	Glg1	4.942453730097046
Zcchc17	Dpp4	4.941652837306409
Exosc3	Idh3g	4.931702161623084
Supt20	Ube2b	4.920830977171596
Hspa5	Fndc3a	4.919153071447552
Srp9	Zfp512	4.915750848094299
Topors	Psmb6	4.911202372360091
Bclaf1	Sec22b	4.905363170745489
Klf6	Atp6ap1	4.904968323762618
Bhlhe40	Mrpl30	4.901746511453085
Zfp664	Mitd1	4.900988127859847
Zfp397	Usp15	4.9006945567701194
Cers4	Atp6ap1	4.898675381479595
Sema4a	Mapre1	4.8955065140676215
Hif1a	Tmem131l	4.889488296100049
Bdp1	Cops8	4.885639693589239
Tbx21	4632427E13Rik	4.878747536935036
Elf1	Phax	4.874842931935866
Aggf1	Arhgef6	4.87469616781527
Xbp1	Fli1	4.873675915040985
Prdx5	Unc50	4.869008618858874
Tsc22d4	Zcchc11	4.856791307971399
Id2	Rbbp4	4.848060443147896
Smarca4	Fkbp2	4.841445731458625
Ikzf1	Drg1	4.839995265479309
Zfp655	Zfp664	4.836326125849072
Pole3	Itpr2	4.835177262650045
Trim21	Atp5o	4.833553474352663
Lrrfip1	Dnajc3	4.831953307874318
Hnrnpc	Txk	4.8271980082057295
Sf3b1	Gm26740	4.8259885146349495
Setbp1	Arpc5	4.817485712511222
Pole3	Rnf115	4.816803014788369
Irf9	Fundc2	4.813104187137145
Prdx5	Tex261	4.810943020654907
Smap2	Tspyl1	4.810249909162701
Nr4a2	Dock8	4.8093550577672115
Zfp397	Eif4h	4.8062451088578255
Cers4	Pja1	4.797562083335988
Sp100	Pja1	4.796603554312835
Pik3c3	Ube2g2	4.793747490789313
Noc2l	Itga4	4.791741369785025
Klf6	Tcf25	4.786637802590766
Hif1a	Uba5	4.7679329379387685
Hspa5	Etfa	4.764216752018298
Ccnt2	Rnasel	4.7582386139222415
Tsnax	Sema4a	4.756361831809196
Mlx	Pafah1b2	4.7521853599270445
Lef1	Tcp1	4.748092701099198
Nr3c1	Mrpl30	4.748033778324082
Zfp707	Snrpb2	4.743221436301728
Rest	Bin1	4.74095400033787
Ezr	Enpp4	4.738689098513837
Smc3	Il16	4.734569604713468
Smarcc1	Il16	4.729249182668566
Taf1	Tmed9	4.725049468443959
Klf2	Pqbp1	4.719109351854647
Ctcf	Ctss	4.7135711460878085
Chd1	Inpp4b	4.712020866711222
Rfc2	Srp72	4.711908959035345
Snrnp70	Foxn3	4.703009551064483
Foxn3	Tpst2	4.702848894531743
Ezr	Nup153	4.697237083522522
Rnf114	Matr3	4.695920859364595
Irf9	Vmp1	4.695334160412487
Trim21	Dpp4	4.687890921785259
Rbm22	Hook1	4.684448955731473
Supt20	Ywhab	4.68168824920738
Psmd12	Zfand6	4.680631125820063
Bclaf1	Tbc1d15	4.680016366761036
Taf1	Cfap97	4.677789505019626
Smarca4	Klk8	4.672220748048116
Zeb1	Nsun2	4.6711349059335
Exosc3	Nktr	4.66438394374675
Zbtb1	Nelfb	4.657405707691585
Chd2	Susd3	4.656619814073067
Ddit3	Penk	4.653065812887222
Rest	Ddx27	4.647168774853776
Tsn	Glmp	4.644825121984763
Foxn3	Prkca	4.636388444587143
Sf3b1	Ctss	4.627043231548502
Cnot4	Tgoln1	4.6244054646395405
Lrrfip1	Foxn3	4.623373046609832
Irf3	Psmc5	4.6194359696582925
Zeb1	Faim	4.618504973565722
Ncald	Sla2	4.615421006135873
Hltf	Stk17b	4.6073235715863925
Ezr	Gnai3	4.600532532522182
Ppp1r10	Ralgapa2	4.599515712827974
Cnot4	Ndufa5	4.586219933280663
Sema4a	Eef1d	4.585724865114263
Rbms1	Pdhb	4.585383149849
Setbp1	Son	4.585381055821435
Irf2	Kmt5b	4.583371014473174
Zfp110	Samsn1	4.5792759051560665
Zfp24	Xpa	4.574589292442989
Nr3c1	Taf1	4.574535369162517
Psma6	Ywhab	4.573657022289338
Nfyb	Mllt10	4.56671648323613
Elk4	Wdr1	4.559389555218947
Pik3c3	Zrsr2	4.556072557146321
Git2	Ppp4r3b	4.55422266112999
Rab14	Lrba	4.547930986095598
Zfp445	Brd8	4.546660460552947
Ecsit	Dpm2	4.546554361533398
Rora	Stub1	4.544572814248919
Smarca4	Commd3	4.544409596096725
Zfp445	Med11	4.54293128624258
Noc2l	Cd9	4.539945737179995
Mctp2	Stk17b	4.538590112105927
Ikzf3	Uap1l1	4.53210667515114
Pik3c3	Mapre2	4.528828288599599
Zbtb1	Smdt1	4.528262940612944
Rest	Fam32a	4.522635638495624
Klf2	Sema4a	4.522114668544235
Zfp24	Ddx21	4.518465873404682
Terf1	Cwc25	4.502883198422943
Lrrfip1	Eif4g1	4.496913345235315
Ddit3	Fxr1	4.494448321514425
Bclaf1	Ppp4r3b	4.482084605442641
Elk4	Atp5b	4.477491759588153
Sf3b1	Eif4g1	4.47433416852042
Lef1	Ctxn1	4.472845514307782
Sp3	Nucb1	4.469965028347571
Ubxn1	Atp6v0e	4.468849652800276
Sema4a	Pqbp1	4.461398773985562
Pik3c3	Stk17b	4.460571817699934
Stub1	Fgd3	4.4571545614282675
Smarca4	Cxcr6	4.450998690874897
Trim21	Txnl1	4.450364453069936
Rfc2	Smarcc1	4.450351954198071
Chd2	Surf1	4.441195718723077
Tagln2	Rnasel	4.440838205974462
Zfp664	Eif3m	4.436675402513627
Zc3h7a	Erbin	4.432528521643674
Zcchc17	Tm9sf3	4.428620132710074
Rbbp5	Prkca	4.427672915528815
Bbx	Bdp1	4.4243808196193255
Ecsit	Def6	4.418291972275174
Trim21	Pnn	4.416756750486377
Rora	L3mbtl3	4.416296232802741
Rbms1	Golim4	4.415475415586019
Nelfb	Fam13b	4.414949997469582
D130040H23Rik	Mgea5	4.413654562873406
Psmd12	Glmp	4.411388368845291
Hp1bp3	Lcp1	4.40770991013492
Hspa5	Trim14	4.407675737881677
Trim21	Hist1h1e	4.399701471496658
Mctp2	BC005624	4.398913631747667
Smarca4	Ndufb11	4.398209679930726
Cnot4	Atp6v0e	4.397214616760358
Zfp407	Pttg1	4.3943890194523325
P4hb	Srp72	4.381414855243506
Bclaf1	Jtb	4.38138284306286
D130040H23Rik	Ndufa13	4.381212025827438
Zfp407	Safb	4.380001033583584
Sp100	Plgrkt	4.378606819683035
Zfp445	M6pr	4.377430127981543
Stat3	Ddx52	4.376080456628808
Stub1	Sertad2	4.3692599960360505
Zfp397	Macf1	4.3625546610449035
2810403A07Rik	Oard1	4.359753214684886
Cers2	Zfp512	4.357730952228184
Bptf	Dcaf11	4.357051092838353
H2afy	Ddx52	4.335067017377932
Bbx	Clk4	4.331616910825013
Nr3c1	Usp1	4.328351863405569
Prdx5	Tnfrsf4	4.326581562856883
Bptf	Car2	4.3247323382815415
Tia1	Uba5	4.324084811249161
Zfp397	Itgb1bp1	4.323308813431865
Nr3c1	Dynlt3	4.322684347653044
Zfp664	Ckap5	4.315588145163849
Smap2	Rp9	4.315182551597618
Zfp445	Kmt2e	4.310368320715026
Irf9	Hist1h1e	4.3088734370135615
Nucb1	Epsti1	4.308097861672864
Mctp2	Ecd	4.305975051678425
Sema4a	Ostm1	4.30428566243539
Cers4	Golm1	4.301117838503861
Rora	Tsc22d4	4.299276389787462
Chd2	Pld3	4.299210833810197
Nucb1	Prpf39	4.29583574995289
Klf3	Smc5	4.293708604691827
Rfc2	Kmt5b	4.2928720448061615
Srp9	Eps15	4.292175620686588
Tsc22d4	Atxn7l3b	4.287751328412782
Nrf1	Me2	4.285578169931409
Zeb1	Ppt1	4.283723035436302
Irf9	Top3b	4.2821977476712485
Hnrnpc	Taf12	4.282066044931494
Chd2	Psmd6	4.281514555270609
Rora	Acin1	4.281088914749249
Zeb1	Tecpr1	4.280039505232619
Chd2	Ralbp1	4.2745748416859914
Psmd12	Uspl1	4.272328738081144
Nucb1	Rexo5	4.27154331960999
Ssrp1	Ccdc50	4.267488284255083
D130040H23Rik	5830408C22Rik	4.2671396773844075
Lrrfip1	Nin	4.266792420901996
Tbx21	Arpc5	4.262013491675665
Exosc3	Trnt1	4.258400571758167
Cers4	AC121801.1	4.257905363761205
Ezr	Atf7ip	4.254939144186188
Ubtf	Uba1	4.253793310802567
Zfp830	Ikzf1	4.252590831686679
Pik3c3	Emp3	4.251219890940989
Chd1	Hcfc1	4.241973075472127
Rfc2	Cwc25	4.24169994123869
Elf2	Tgoln1	4.2413869631458425
Zeb1	Ddx52	4.23703636066486
Rbms1	Hltf	4.234525576514594
Zbtb38	Cd84	4.231642085472562
Ikzf1	Ppt1	4.224179311538586
Ilf2	Tk2	4.219082358357155
Nfyb	Nedd4	4.216671140168828
Supt20	2010111I01Rik	4.21270502356079
Zfp830	Msh2	4.211006982387529
Elf2	Rbbp7	4.198660522489632
Psmd12	Pnrc1	4.195560202002404
