TF	target	importance
H2afy	Xbp1	728.500355366027
H2afy	Zfx	726.0951082324868
H2afy	Ugp2	718.7938288920055
Zfp329	Kdm4c	584.0806285215459
Zfp329	Pik3c3	583.0164765525983
Zfp329	Lcor	577.2096306172066
Bptf	Snap47	555.6196497381111
Bptf	Eps15	555.6196497381111
Bptf	Ppp6r3	555.6196497381111
Bptf	Dhps	540.8685100112681
Bptf	Gm37967	540.8685100112681
Bptf	Utp3	540.8685100112681
Bptf	Nifk	540.8685100112681
Bptf	Sptssa	540.8685100112681
Bptf	Vamp4	540.8685100112681
Bptf	Opa1	540.8685100112681
Bptf	Rbm48	540.8685100112681
Bptf	Mtif3	540.8685100112681
Bptf	Nfrkb	540.8685100112681
Bptf	Stag2	540.8685100112681
Bptf	Lpxn	540.8685100112681
Bptf	Dcp2	540.8685100112681
Bptf	Tmem208	540.8685100112681
Bptf	Ddx27	540.8685100112681
Bptf	Dubr	540.8685100112681
Bptf	4632427E13Rik	540.8685100112681
Bptf	Mrps9	540.8685100112681
Bptf	Hyi	540.8685100112681
Bptf	Fam172a	540.8685100112681
Bptf	4931406P16Rik	540.8685100112681
Bptf	Chchd3	540.8685100112681
Bptf	Mrps26	540.8685100112681
Bptf	Rps6kb1	540.8685100112681
Bptf	Psmf1	540.8685100112681
Bptf	Samm50	540.8685100112681
Bptf	Med10	540.8685100112681
Bptf	5830408C22Rik	540.8685100112681
Bptf	Sephs2	540.8685100112681
Bptf	Rab24	540.8685100112681
Bptf	Oard1	540.8685100112681
Bptf	Necap2	540.8685100112681
Bptf	Sharpin	540.8685100112681
Bptf	Slc39a6	540.8685100112681
Bptf	Prpf6	540.8685100112681
Bptf	Cib1	540.8685100112681
Bptf	Ndufv1	540.8685100112681
Bptf	Tmem203	540.8685100112681
Bptf	Rexo5	540.8685100112681
Bptf	Gpatch1	540.8685100112681
Bptf	Faap20	540.8685100112681
Bptf	Nsmce2	540.8685100112681
Bptf	Rnasel	540.8685100112681
Bptf	Serpinb6b	540.8685100112681
Bptf	Cox14	540.8685100112681
Bptf	Pycr2	540.8685100112681
Bptf	Lin7c	540.8685100112681
Bptf	Crcp	540.8685100112681
Bptf	Dpp8	540.8685100112681
Bptf	Dctn3	540.8685100112681
Bptf	Slc4a1ap	540.8685100112681
Bptf	Emc2	540.8685100112681
Bptf	Armc7	540.8685100112681
Bptf	Chd4	540.8685100112681
Bptf	Uap1l1	540.8685100112681
Bptf	Strap	540.8685100112681
Bptf	Cd200r1	540.8685100112681
Bptf	Tmem191c	540.8685100112681
Bptf	Naxe	540.8685100112681
Bptf	Shoc2	540.8685100112681
Bptf	Rnf20	540.8685100112681
Bptf	Slf2	540.8685100112681
Bptf	Spg21	540.8685100112681
Bptf	Gripap1	540.8685100112681
Bptf	Fgd3	540.8685100112681
Bptf	Pigk	540.8685100112681
Bptf	Cklf	540.8685100112681
Bptf	Slc35b1	540.8685100112681
Bptf	Rsl1d1	540.8685100112681
Bptf	5830428M24Rik	540.8685100112681
Bptf	Peak1	540.8685100112681
Bptf	Tomm22	540.8685100112681
Bptf	Rtfdc1	540.8685100112681
Bptf	Ttc5	540.8685100112681
Bptf	Med19	540.8685100112681
Bptf	Rspry1	540.8685100112681
Bptf	Cfap58	540.8685100112681
Bptf	Itgb1bp1	540.8685100112681
Bptf	Penk	540.8685100112681
Bptf	Cwc27	540.8685100112681
Bptf	Golim4	540.8685100112681
Bptf	Dusp6	540.8685100112681
Bptf	D16Ertd472e	540.8685100112681
Bptf	Mphosph8	540.8685100112681
Bptf	Casp1	540.8685100112681
Bptf	Grpel1	540.8685100112681
Bptf	Glmn	540.8685100112681
Bptf	Mrpl3	540.8685100112681
H2afy	Smarcc2	530.3977983487616
H2afy	Kdm4c	504.72184747242284
H2afy	Pik3c3	503.80228136882135
H2afy	Lcor	498.78440906595563
Smc3	Lcor	498.78440906595563
Setbp1	Zfx	477.245611044827
Smc3	Ppp6r3	470.7076766884331
Smc3	Snap47	470.7076766884331
Smc3	Eps15	470.7076766884331
Smc3	Pik3c3	465.77946768060843
Yeats4	Kdm4c	431.7117689072296
Gtf2f1	Xbp1	414.0014214641081
Ubtf	Xbp1	412.2245913290689
Gtf2f1	Ugp2	408.4852734922861
Ubtf	Ugp2	406.73211781206163
Rela	Smarcc2	406.1379367859228
Rab14	Snap47	395.9482221555642
Rab14	Ppp6r3	395.9482221555642
Rab14	Eps15	395.9482221555642
Gtf2f1	Smarcc2	388.62480193478456
Noc2l	Strap	372.28048886192244
Noc2l	Pigk	372.28048886192244
Noc2l	Uap1l1	372.28048886192244
Noc2l	Slf2	372.28048886192244
Noc2l	Tmem191c	372.28048886192244
Noc2l	Naxe	372.28048886192244
Noc2l	Peak1	372.28048886192244
Noc2l	Cd200r1	372.28048886192244
Noc2l	Shoc2	372.28048886192244
Noc2l	Golim4	372.28048886192244
Noc2l	Rab24	372.28048886192244
Noc2l	Rnf20	372.28048886192244
Noc2l	Crcp	372.28048886192244
Noc2l	Oard1	372.28048886192244
Noc2l	D16Ertd472e	372.28048886192244
Noc2l	4632427E13Rik	372.28048886192244
Noc2l	Ttc5	372.28048886192244
Noc2l	Cwc27	372.28048886192244
Noc2l	Chd4	372.28048886192244
Noc2l	Rtfdc1	372.28048886192244
Noc2l	Nifk	372.28048886192244
Noc2l	Mphosph8	372.28048886192244
Noc2l	Slc39a6	372.28048886192244
Noc2l	Prpf6	372.28048886192244
Noc2l	Cib1	372.28048886192244
Noc2l	Ndufv1	372.28048886192244
Noc2l	Casp1	372.28048886192244
Noc2l	Penk	372.28048886192244
Noc2l	Tmem203	372.28048886192244
Noc2l	Rexo5	372.28048886192244
Noc2l	Gpatch1	372.28048886192244
Noc2l	Rspry1	372.28048886192244
Noc2l	Faap20	372.28048886192244
Noc2l	Nsmce2	372.28048886192244
Noc2l	Fgd3	372.28048886192244
Noc2l	Rnasel	372.28048886192244
Noc2l	Serpinb6b	372.28048886192244
Noc2l	Rsl1d1	372.28048886192244
Noc2l	Pycr2	372.28048886192244
Noc2l	Necap2	372.28048886192244
Noc2l	Cox14	372.28048886192244
Noc2l	Lin7c	372.28048886192244
Noc2l	Dctn3	372.28048886192244
Noc2l	Dpp8	372.28048886192244
Noc2l	Lpxn	372.28048886192244
Noc2l	Emc2	372.28048886192244
Noc2l	Slc4a1ap	372.28048886192244
Noc2l	Armc7	372.28048886192244
Noc2l	Sephs2	372.28048886192244
Noc2l	Sharpin	372.28048886192244
Noc2l	Rps6kb1	372.28048886192244
Noc2l	Gm37967	372.28048886192244
Noc2l	Psmf1	372.28048886192244
Noc2l	Samm50	372.28048886192244
Noc2l	Gripap1	372.28048886192244
Noc2l	Cklf	372.28048886192244
Noc2l	Dcp2	372.28048886192244
Noc2l	Mrps26	372.28048886192244
Noc2l	Glmn	372.28048886192244
Noc2l	Sptssa	372.28048886192244
Noc2l	Dubr	372.28048886192244
Noc2l	Ddx27	372.28048886192244
Noc2l	Tomm22	372.28048886192244
Noc2l	Chchd3	372.28048886192244
Noc2l	Cfap58	372.28048886192244
Noc2l	Dhps	372.28048886192244
Noc2l	4931406P16Rik	372.28048886192244
Noc2l	Grpel1	372.28048886192244
Noc2l	Tmem208	372.28048886192244
Noc2l	Mrps9	372.28048886192244
Noc2l	5830428M24Rik	372.28048886192244
Noc2l	Hyi	372.28048886192244
Noc2l	Med19	372.28048886192244
Noc2l	Utp3	372.28048886192244
Noc2l	Fam172a	372.28048886192244
Noc2l	Rbm48	372.28048886192244
Noc2l	Stag2	372.28048886192244
Noc2l	Mtif3	372.28048886192244
Noc2l	5830408C22Rik	372.28048886192244
Noc2l	Slc35b1	372.28048886192244
Noc2l	Mrpl3	372.28048886192244
Noc2l	Med10	372.28048886192244
Noc2l	Nfrkb	372.28048886192244
Noc2l	Opa1	372.28048886192244
Noc2l	Vamp4	372.28048886192244
Noc2l	Itgb1bp1	372.28048886192244
Noc2l	Spg21	372.28048886192244
Noc2l	Dusp6	372.28048886192244
Smc3	Kdm4c	368.22474406793106
Zc3h7a	Zfx	320.43633884438384
Ikzf3	Snap47	291.65416830106835
Ikzf3	Eps15	291.65416830106835
Ikzf3	Ppp6r3	291.65416830106835
Smc3	Smarcc2	285.21391043282466
Klf2	Ugp2	280.50490883590464
Smarca4	5830408C22Rik	276.5016902140938
Smarca4	Rtfdc1	276.5016902140938
Smarca4	Faap20	276.5016902140938
Smarca4	Nsmce2	276.5016902140938
Smarca4	Tmem208	276.5016902140938
Smarca4	Med10	276.5016902140938
Smarca4	Spg21	276.5016902140938
Smarca4	Rnasel	276.5016902140938
Smarca4	Hyi	276.5016902140938
Smarca4	Dubr	276.5016902140938
Smarca4	Rspry1	276.5016902140938
Smarca4	Ndufv1	276.5016902140938
Smarca4	4931406P16Rik	276.5016902140938
Smarca4	Chchd3	276.5016902140938
Smarca4	Tomm22	276.5016902140938
Smarca4	Mrps26	276.5016902140938
Smarca4	Penk	276.5016902140938
Smarca4	Mphosph8	276.5016902140938
Smarca4	Dusp6	276.5016902140938
Smarca4	Slc39a6	276.5016902140938
Smarca4	Serpinb6b	276.5016902140938
Smarca4	Gpatch1	276.5016902140938
Smarca4	Tmem203	276.5016902140938
Smarca4	Rps6kb1	276.5016902140938
Smarca4	Cib1	276.5016902140938
Smarca4	Samm50	276.5016902140938
Smarca4	Lpxn	276.5016902140938
Smarca4	Mrps9	276.5016902140938
Smarca4	Golim4	276.5016902140938
Smarca4	Rab24	276.5016902140938
Smarca4	Peak1	276.5016902140938
Smarca4	Sharpin	276.5016902140938
Smarca4	Opa1	276.5016902140938
Smarca4	Utp3	276.5016902140938
Smarca4	Cd200r1	276.5016902140938
Smarca4	Ttc5	276.5016902140938
Smarca4	Glmn	276.5016902140938
Smarca4	Gm37967	276.5016902140938
Smarca4	Mrpl3	276.5016902140938
Smarca4	Pigk	276.5016902140938
Smarca4	Rnf20	276.5016902140938
Smarca4	Slf2	276.5016902140938
Smarca4	Rbm48	276.5016902140938
Smarca4	Mtif3	276.5016902140938
Smarca4	4632427E13Rik	276.5016902140938
Smarca4	Sephs2	276.5016902140938
Smarca4	D16Ertd472e	276.5016902140938
Smarca4	Grpel1	276.5016902140938
Smarca4	Naxe	276.5016902140938
Smarca4	Gripap1	276.5016902140938
Smarca4	Rsl1d1	276.5016902140938
Smarca4	Lin7c	276.5016902140938
Smarca4	Med19	276.5016902140938
Smarca4	Pycr2	276.5016902140938
Smarca4	5830428M24Rik	276.5016902140938
Smarca4	Dpp8	276.5016902140938
Smarca4	Cox14	276.5016902140938
Smarca4	Dctn3	276.5016902140938
Smarca4	Cwc27	276.5016902140938
Smarca4	Cfap58	276.5016902140938
Smarca4	Dhps	276.5016902140938
Smarca4	Strap	276.5016902140938
Smarca4	Fam172a	276.5016902140938
Smarca4	Fgd3	276.5016902140938
Smarca4	Slc4a1ap	276.5016902140938
Smarca4	Armc7	276.5016902140938
Smarca4	Sptssa	276.5016902140938
Smarca4	Chd4	276.5016902140938
Smarca4	Uap1l1	276.5016902140938
Smarca4	Dcp2	276.5016902140938
Smarca4	Crcp	276.5016902140938
Smarca4	Oard1	276.5016902140938
Smarca4	Tmem191c	276.5016902140938
Smarca4	Prpf6	276.5016902140938
Smarca4	Slc35b1	276.5016902140938
Smarca4	Cklf	276.5016902140938
Smarca4	Stag2	276.5016902140938
Smarca4	Emc2	276.5016902140938
Smarca4	Itgb1bp1	276.5016902140938
Smarca4	Nfrkb	276.5016902140938
Smarca4	Necap2	276.5016902140938
Smarca4	Vamp4	276.5016902140938
Smarca4	Rexo5	276.5016902140938
Smarca4	Casp1	276.5016902140938
Smarca4	Shoc2	276.5016902140938
Smarca4	Ddx27	276.5016902140938
Smarca4	Nifk	276.5016902140938
Smarca4	Psmf1	276.5016902140938
Ikzf3	Crcp	270.43425500563404
Ikzf3	4632427E13Rik	270.43425500563404
Ikzf3	Oard1	270.43425500563404
Ikzf3	Rnf20	270.43425500563404
Ikzf3	Rbm48	270.43425500563404
Ikzf3	Sephs2	270.43425500563404
Ikzf3	Lpxn	270.43425500563404
Ikzf3	Mtif3	270.43425500563404
Ikzf3	Nfrkb	270.43425500563404
Ikzf3	Gm37967	270.43425500563404
Ikzf3	Vamp4	270.43425500563404
Ikzf3	Utp3	270.43425500563404
Ikzf3	Rab24	270.43425500563404
Ikzf3	Sharpin	270.43425500563404
Ikzf3	Shoc2	270.43425500563404
Ikzf3	Cox14	270.43425500563404
Ikzf3	Faap20	270.43425500563404
Ikzf3	Nsmce2	270.43425500563404
Ikzf3	Rnasel	270.43425500563404
Ikzf3	Serpinb6b	270.43425500563404
Ikzf3	Pycr2	270.43425500563404
Ikzf3	Dpp8	270.43425500563404
Ikzf3	Dctn3	270.43425500563404
Ikzf3	Necap2	270.43425500563404
Ikzf3	Lin7c	270.43425500563404
Ikzf3	Cd200r1	270.43425500563404
Ikzf3	Armc7	270.43425500563404
Ikzf3	Slc4a1ap	270.43425500563404
Ikzf3	Naxe	270.43425500563404
Ikzf3	Chd4	270.43425500563404
Ikzf3	Uap1l1	270.43425500563404
Ikzf3	Strap	270.43425500563404
Ikzf3	Tmem191c	270.43425500563404
Ikzf3	Dcp2	270.43425500563404
Ikzf3	Opa1	270.43425500563404
Ikzf3	Dhps	270.43425500563404
