TF,GENE,abs
Ezh2,1810037I17Rik,0.7593666911753196
Ezh2,2010111I01Rik,0.643844982012453
Ezh2,2210016F16Rik,2.1201239954629103
Ezh2,2310011J03Rik,3.651726484304634
Ezh2,Acot13,0.3530141126416847
Ezh2,Actr2,3.651726484304634
Ezh2,Adam10,3.2301559013042187
Ezh2,Adam19,3.5740583836892923
Ezh2,Ankhd1,1.6447597296240866
Ezh2,Anp32b,1.6447597296240866
Ezh2,Anxa2,3.2301559013042187
Ezh2,Apbb1ip,0.4746747649737564
Ezh2,Aplp2,4.490106119909614
Ezh2,Arhgap15,2.487968172892537
Ezh2,Arhgdib,0.6361545031923723
Ezh2,Arpp19,1.5977463267802992
Ezh2,Ash1l,0.9128318179083377
Ezh2,Atad2,2.1619243426265067
Ezh2,Atp5a1,3.651726484304634
Ezh2,Atp5c1,4.490106119909614
Ezh2,Atp5g3,6.65203046253612
Ezh2,Atp5j,3.2301559013042187
Ezh2,Atp6v0a2,0.3530141126416847
Ezh2,Atp6v1c1,0.5893178832295201
Ezh2,Atp6v1d,3.651726484304634
Ezh2,Atxn10,6.65203046253612
Ezh2,BC004004,3.651726484304634
Ezh2,BC005624,0.6534721519386231
Ezh2,Banf1,6.65203046253612
Ezh2,Baz2a,3.651726484304634
Ezh2,Bcl2,0.5652511254188055
Ezh2,Bms1,3.651726484304634
Ezh2,Bptf,0.7666563945312017
Ezh2,Brd2,3.000303978231486
Ezh2,Brd3,4.53190646707321
Ezh2,Btbd9,0.7593666911753196
Ezh2,Camk2d,3.4218745612319017
Ezh2,Capza2,3.000303978231486
Ezh2,Casp8,1.6447597296240866
Ezh2,Cbx1,4.53190646707321
Ezh2,Ccdc12,4.490106119909614
Ezh2,Ccdc47,3.2301559013042187
Ezh2,Ccm2,3.2301559013042187
Ezh2,Ccnd2,3.651726484304634
Ezh2,Ccnl1,1.6126824781336806
Ezh2,Cct5,1.5308600307743014
Ezh2,Cct8,0.4850658372118446
Ezh2,Cd37,0.20697249472014634
Ezh2,Cd6,1.3174263294398383
Ezh2,Cdc40,2.1201239954629103
Ezh2,Cdc42ep3,3.651726484304634
Ezh2,Cdc42se1,3.2301559013042187
