TF,GENE,abs
Ezh2,1810037I17Rik,1.8001939679276924
Ezh2,2210016F16Rik,3.325725589836693
Ezh2,3830406C13Rik,0.7299302446987457
Ezh2,4833420G17Rik,2.8021510183219425
Ezh2,4931406P16Rik,0.839976287626512
Ezh2,4933427D14Rik,1.5417277853160252
Ezh2,Abcf1,3.325725589836693
Ezh2,Acadl,2.669969726023985
Ezh2,Acap2,0.2391738786020197
Ezh2,Acot7,1.7632247927319835
Ezh2,Actr2,2.8021510183219425
Ezh2,Adam10,1.2545952119661266
Ezh2,Adam19,1.5948788918894317
Ezh2,Add3,2.669969726023985
Ezh2,Afg3l2,1.7632247927319835
Ezh2,Agpat3,1.5948788918894317
Ezh2,Ahi1,1.244571127853216
Ezh2,Aifm1,1.4104702588399567
Ezh2,Akap9,0.3620359329585532
Ezh2,Ankrd10,3.325725589836693
Ezh2,Ankrd12,1.7632247927319835
Ezh2,Anxa2,2.022932527894296
Ezh2,Ap3b1,2.8021510183219425
Ezh2,Apeh,4.2859432701378735
Ezh2,Araf,2.2630107422435777
Ezh2,Arhgap9,0.2302874356024347
Ezh2,Arhgdib,0.31547207582867587
Ezh2,Arhgef3,1.3338611925337096
Ezh2,Arid4a,0.2302874356024347
Ezh2,Arl4a,4.2859432701378735
Ezh2,Arpc2,3.556013025439128
Ezh2,Arpc5,8.915125287325502
Ezh2,Asxl2,2.022932527894296
Ezh2,Ate1,0.3255336167827281
Ezh2,Atg3,1.8650187454025189
Ezh2,Atp2b1,3.556013025439128
Ezh2,Atp5a1,2.022932527894296
Ezh2,Atp5c1,3.325725589836693
Ezh2,Atp5j,0.7299302446987457
Ezh2,Atp6ap1,1.8650187454025189
Ezh2,Atp6v0d1,0.7299302446987457
Ezh2,Atp6v1e1,0.2302874356024347
Ezh2,Atxn10,3.325725589836693
Ezh2,Aurkaip1,2.8021510183219425
Ezh2,Azi2,3.556013025439128
Ezh2,Bag4,3.556013025439128
Ezh2,Baz1a,1.5948788918894317
Ezh2,Baz2b,8.915125287325502
Ezh2,Bcl2,0.21803365622201965
Ezh2,Bdp1,4.2859432701378735
Ezh2,Bhlhe40,1.4507649916991576
Ezh2,Bms1,3.325725589836693
Ezh2,Bnip2,3.556013025439128
Ezh2,Btbd9,1.690994280036609
Ezh2,Bzw1,2.485749302210181
Ezh2,C1d,0.538407203311679
Ezh2,C1qbp,3.325725589836693
Ezh2,Camk2d,0.39604290596945824
Ezh2,Capza2,3.325725589836693
Ezh2,Capzb,3.556013025439128
Ezh2,Cast,0.6207305568076622
Ezh2,Ccdc124,2.4766174015392144
Ezh2,Ccl4,0.20783210445034808
Ezh2,Ccnh,2.8021510183219425
Ezh2,Ccnt2,1.6200389862026197
Ezh2,Cct4,1.9340448303547073
Ezh2,Cct7,3.325725589836693
Ezh2,Cd164,4.2859432701378735
Ezh2,Cd28,0.3255336167827281
Ezh2,Cd9,1.6868402598196204
Ezh2,Cdadc1,0.19335232448477058
Ezh2,Cdc123,3.325725589836693
Ezh2,Cdc37l1,3.556013025439128
Ezh2,Cdk2ap2,2.3014178134730012
Ezh2,Celf1,2.8021510183219425
Ezh2,Cggbp1,2.8021510183219425
Ezh2,Chd2,3.325725589836693
Ezh2,Chd9,2.8021510183219425
Ezh2,Chfr,3.325725589836693
Ezh2,Chmp5,3.556013025439128
Ezh2,Chn2,0.538407203311679
Ezh2,Cib1,2.022932527894296
Ezh2,Cirbp,2.022932527894296
Ezh2,Cklf,1.038926225589959
Ezh2,Cldnd1,1.878547814040868
Ezh2,Clns1a,0.7299302446987457
Ezh2,Cnp,0.7633602561162922
Ezh2,Cnst,3.556013025439128
Ezh2,Col4a3bp,1.4093718239991726
Ezh2,Commd8,2.8021510183219425
Ezh2,Copb1,2.4766174015392144
Ezh2,Copb2,3.325725589836693
Ezh2,Cops4,1.3453604774391643
Ezh2,Coro1b,0.44671243379933545
Ezh2,Cox6a1,3.556013025439128
Ezh2,Cox7a2l,2.3014178134730012
Ezh2,Creb1,3.556013025439128
Ezh2,Crnkl1,1.8001939679276924
Ezh2,Ctcf,0.7538620071171853
Ezh2,Ctsa,2.8021510183219425
Ezh2,Ctsb,2.050577102698937
Ezh2,Ctse,0.7047611435972168
Ezh2,Cuta,2.485749302210181
Ezh2,Cwc25,0.2302874356024347
Ezh2,Cwf19l2,1.871730632228177
Ezh2,Cyb5r3,0.4478167964955826
Ezh2,D3Ertd751e,0.30163442872238233
Ezh2,Dad1,3.325725589836693
Ezh2,Dars,0.8491081882974787
Ezh2,Dctn4,0.8541014157552007
Ezh2,Ddit3,3.325725589836693
Ezh2,Ddx17,2.022932527894296
Ezh2,Ddx23,2.485749302210181
Ezh2,Ddx24,2.022932527894296
Ezh2,Dennd2d,0.8986480436398289
Ezh2,Derl2,0.24951841445026735
Ezh2,Dkc1,1.1965586665352643
Ezh2,Dnajc1,3.556013025439128
Ezh2,Dnajc8,1.523598323805159
Ezh2,Dnmt1,1.1486623158684053
Ezh2,Dock10,0.2302874356024347
Ezh2,Dock11,1.1821120321193228
Ezh2,Eapp,0.7299302446987457
Ezh2,Ech1,3.556013025439128
Ezh2,Eea1,2.4766174015392144
Ezh2,Eef1b2,3.325725589836693
Ezh2,Ehd4,1.8001939679276924
Ezh2,Eif2b2,0.2302874356024347
Ezh2,Eif3d,2.8021510183219425
Ezh2,Eif3f,0.5013806337548201
Ezh2,Eif3h,1.5054359227401908
Ezh2,Eif4a2,3.325725589836693
Ezh2,Eif4g2,2.3014178134730012
Ezh2,Eif5b,1.9340448303547073
Ezh2,Elovl1,0.3096753824713736
Ezh2,Emb,1.115310758502322
Ezh2,Eml4,4.2859432701378735
Ezh2,Enpp4,1.3027930619423973
Ezh2,Ensa,2.3014178134730012
Ezh2,Esd,1.8749605981375355
Ezh2,Etfa,2.8021510183219425
Ezh2,Exosc4,0.7299302446987457
Ezh2,Ezh2,0.3096753824713736
Ezh2,Ezr,2.050577102698937
Ezh2,Fam13b,2.485749302210181
Ezh2,Fam169b,0.13134255839669434
Ezh2,Fam46c,1.5948788918894317
Ezh2,Fam49b,2.786292784010588
Ezh2,Fam76b,3.556013025439128
Ezh2,Fam98b,0.6305524578712121
Ezh2,Fbxl12,3.556013025439128
Ezh2,Fbxl5,3.325725589836693
Ezh2,Fbxw2,0.7299302446987457
Ezh2,Fgfr1op2,1.4507649916991576
Ezh2,Fubp1,1.1965586665352643
Ezh2,Fundc2,3.325725589836693
Ezh2,Fus,1.3513860266227848
Ezh2,Gabarap,2.3014178134730012
Ezh2,Gas5,0.7538620071171853
Ezh2,Gbf1,1.1821120321193228
Ezh2,Gcc2,0.2302874356024347
Ezh2,Gng2,1.1486623158684053
Ezh2,Gnl2,4.2859432701378735
Ezh2,Gpatch2,0.2302874356024347
Ezh2,Grap,2.8021510183219425
Ezh2,Grpel1,2.8351782784387156
Ezh2,Gsk3b,3.325725589836693
