TF,GENE,abs
Ezh2,1810058I24Rik,2.0714380981724045
Ezh2,2410015M20Rik,2.838728108733573
Ezh2,3830406C13Rik,2.0714380981724045
Ezh2,4833420G17Rik,1.0952402730623627
Ezh2,4921524J17Rik,2.8653983410721877
Ezh2,4931406P16Rik,1.7560365124404955
Ezh2,AI467606,2.0714380981724045
Ezh2,Abi1,0.10581366067437648
Ezh2,Ablim1,1.5792747460724577
Ezh2,Acadl,1.428199127650568
Ezh2,Acap2,0.2947261257385081
Ezh2,Acp5,2.177251758846781
Ezh2,Adam19,2.177251758846781
Ezh2,Add3,1.6743254111812125
Ezh2,Adprh,1.274329293563918
Ezh2,Agpat3,1.11014626530104
Ezh2,Aifm1,2.8653983410721877
Ezh2,Akap13,0.8807747087706982
Ezh2,Akap8,1.088733462612543
Ezh2,Akap8l,2.173598814603045
Ezh2,Ankrd44,0.41756230216254964
Ezh2,Anp32a,1.5792747460724577
Ezh2,Anp32b,2.173598814603045
Ezh2,Anp32e,0.9929564455525086
Ezh2,Aplp2,0.5123379650730804
Ezh2,Arap2,0.026436313706447438
Ezh2,Arfrp1,1.7560365124404955
Ezh2,Arglu1,0.002738269072372825
Ezh2,Arhgap15,0.8234261433560147
Ezh2,Arhgap30,1.508486213871518
Ezh2,Arhgap9,1.7068304396632688
Ezh2,Arhgef3,2.8512767855028582
Ezh2,Arid4a,2.8653983410721877
Ezh2,Arid4b,2.8512767855028582
Ezh2,Arid5b,1.7560365124404955
Ezh2,Arpc5,2.0714380981724045
Ezh2,Arpp19,2.6384495641777352
Ezh2,Asxl2,1.6748948449137602
Ezh2,Atad2,1.7411305202018181
Ezh2,Atg3,2.8653983410721877
Ezh2,Atg5,4.545046502810807
Ezh2,Atp2b1,2.8653983410721877
Ezh2,Atp5j,2.8653983410721877
Ezh2,Atp5j2,2.262563873469664
Ezh2,Atp6v1c1,1.1457012986748751
Ezh2,Atp6v1d,3.7144395987567584
Ezh2,Atp6v1e1,1.4241415217964963
